project,Sample name,n_ecDNA_amplicons
GBM,TCGA-19-2620-01A-01D-1495-08_MN_10A-01D-1495,1
GBM,TCGA-19-2624-01A-01D-1495-08_MN_10A-01D-1495,1
GBM,TCGA-26-1438-01A-01D-0932-09_MN_10A-01D-0703,1
GBM,TCGA-26-5135-01A-01D-1486-08_MN_10A-01D-1486,1
GBM,TCGA-27-2523-01A-01D-1494-08_MN_10A-01D-1494,1
GBM,TCGA-32-1970-01A-01D-1494-08_MN_10A-01D-1494,1
GBM,TCGA-41-5651-01A-01D-1696-08_MN_10A-01D-1696,1
HNSC,TCGA-BA-4076-01A-01D-1431-02_MN_10A-01D-1431,3
HNSC,TCGA-CV-5973-01A-11D-1681-02_MN_11A-01D-1681,3
HNSC,TCGA-CV-5973-01A-11D-A32X-10_MN_11A-01D-A32X,3
HNSC,TCGA-CN-4740-01A-01D-1431-02_MN_10A-01D-1431,2
HNSC,TCGA-CQ-6228-01A-11D-A32X-10_MN_10A-01D-A32X,2
HNSC,TCGA-CV-6933-01A-11D-1911-02_MN_10A-01D-1911,2
HNSC,TCGA-CV-6933-01A-11D-1911-02_MN_11A-01D-1911,2
HNSC,TCGA-CV-7090-01A-11D-2276-10_MN_10A-01D-2276,2
HNSC,TCGA-BA-4074-01A-01D-1431-02_MN_10A-01D-1431,1
HNSC,TCGA-BA-4076-01A-01D-2266-10_MN_10A-01D-2266,1
HNSC,TCGA-BA-4077-01B-01D-2268-08_MN_10A-01D-2268,1
HNSC,TCGA-BA-4078-01A-01D-1431-02_MN_10A-01D-1431,1
HNSC,TCGA-BA-5151-01A-01D-1431-02_MN_10A-01D-1431,1
HNSC,TCGA-BA-6872-01A-11D-A32X-10_MN_10A-01D-A32X,1
HNSC,TCGA-BB-4224-01A-01D-1431-02_MN_10A-01D-1431,1
HNSC,TCGA-CN-4729-01A-01D-1431-02_MN_10A-01D-1431,1
HNSC,TCGA-CN-5365-01A-01D-2276-10_MN_10A-01D-2276,1
HNSC,TCGA-CN-5367-01A-01D-1431-02_MN_10A-01D-1431,1
HNSC,TCGA-CN-6011-01A-11D-A32X-10_MN_10A-01D-A32X,1
HNSC,TCGA-CN-6013-01A-11D-1681-02_MN_10A-01D-1681,1
HNSC,TCGA-CN-6996-01A-11D-1911-02_MN_10A-01D-1911,1
HNSC,TCGA-CQ-5330-01A-01D-1681-02_MN_10A-01D-1681,1
HNSC,TCGA-CQ-6225-01A-11D-1911-02_MN_10A-01D-1911,1
HNSC,TCGA-CQ-6229-01A-11D-1911-02_MN_10A-01D-1911,1
HNSC,TCGA-CR-6482-01A-11D-2268-08_MN_10A-01D-2268,1
HNSC,TCGA-CV-5431-01A-01D-1509-02_MN_11A-01D-1509,1
HNSC,TCGA-CV-5431-01A-01D-A32X-10_MN_11A-01D-A32X,1
HNSC,TCGA-CV-5432-01A-02D-A32X-10_MN_10A-01D-A32X,1
HNSC,TCGA-CV-5443-01A-01D-2268-08_MN_11A-01D-2268,1
HNSC,TCGA-CV-5977-01A-11D-1681-02_MN_11A-01D-1681,1
HNSC,TCGA-CV-6003-01A-11D-1681-02_MN_11A-01D-1681,1
HNSC,TCGA-CV-6433-01A-11D-2276-10_MN_11A-01D-2276,1
HNSC,TCGA-CV-6948-01A-11D-1911-02_MN_10A-01D-1911,1
HNSC,TCGA-CV-6959-01A-11D-1911-02_MN_10A-01D-1911,1
HNSC,TCGA-CV-6959-01A-11D-1911-02_MN_11A-01D-1911,1
HNSC,TCGA-CV-7407-01A-11D-2317-26_MN_10A-01D-2317,1
HNSC,TCGA-CV-7416-01A-11D-2334-08_MN_11A-01D-2334,1
HNSC,TCGA-D6-6826-01A-11D-1911-02_MN_10A-01D-1911,1
HNSC,TCGA-DQ-5625-01A-01D-1868-02_MN_10A-01D-1868,1
HNSC,TCGA-DQ-5625-01A-01D-A32X-10_MN_10A-01D-A32X,1
HNSC,TCGA-HD-7753-01A-11D-A32X-10_MN_10A-01D-A32X,1
HNSC,TCGA-IQ-7632-01A-11D-2317-26_MN_10A-01D-2317,1
KICH,TCGA-KL-8341-01A-11D-2310-10_MN_11A-01D-2310,1
KIRP,TCGA-A4-A57E-01A-11D-A26P-10_MN_10A-01D-A26P,1
KIRP,TCGA-B3-4104-01A-02D-1402-10_MN_11A-01D-1253,1
KIRP,TCGA-B9-4116-01A-02D-1402-10_MN_10A-01D-A31Z,1
LGG,TCGA-CS-4941-01A-01D-1465-02_MN_10A-01D-1465,2
LGG,TCGA-DU-6403-01A-11D-1703-02_MN_10A-01D-1703,2
LGG,TCGA-DU-6407-02B-11D-A36O-08_MN_10A-01D-1705,2
LGG,TCGA-DU-7013-01A-11D-A461-08_MN_10A-01D-A461,2
LGG,TCGA-DU-7292-01A-11D-2022-02_MN_10A-01D-2022,2
LGG,TCGA-FG-6688-01A-11D-1891-02_MN_10A-01D-1891,2
LGG,TCGA-CS-6665-01A-11D-1893-08_MN_10A-01D-1893,1
LGG,TCGA-DU-5852-01A-11D-1703-02_MN_10A-01D-1703,1
LGG,TCGA-DU-5854-01A-11D-1703-02_MN_10A-01D-1703,1
LGG,TCGA-DU-6405-01A-11D-1703-02_MN_10A-01D-1703,1
LGG,TCGA-DU-7010-01A-11D-2022-02_MN_10A-01D-2022,1
LGG,TCGA-FG-6692-01A-11D-1891-02_MN_10A-01D-1891,1
LGG,TCGA-HT-8104-01A-11D-A461-08_MN_10A-01D-A461,1
LGG,TCGA-HT-A61B-01A-11D-A461-08_MN_10A-01D-A29Q,1
LGG,TCGA-IK-7675-01A-11D-2086-08_MN_10A-01D-2086,1
LIHC,TCGA-DD-A4NE-01A-11D-A27I-10_MN_11A-11D-A27I,2
LIHC,TCGA-EP-A2KA-01A-11D-A183-10_MN_10A-01D-A183,2
LIHC,TCGA-BC-A216-01A-11D-A152-10_MN_11A-11D-A152,1
LIHC,TCGA-BC-A217-01A-11D-A152-10_MN_10A-01D-A152,1
LIHC,TCGA-G3-A25W-01A-11D-A16V-10_MN_11A-12D-A16V,1
LUAD,TCGA-38-4630-01A-01D-2364-08_MN_11A-01D-2364,8
LUAD,TCGA-44-6774-01A-21D-1853-02_MN_11A-01D-1853,2
LUAD,TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1203,1
LUAD,TCGA-38-4632-01A-01D-1751-02_MN_11A-01D-1751,1
LUAD,TCGA-44-6775-01C-02D-A46W-08_MN_10A-01D-1853,1
LUAD,TCGA-44-6775-01C-02D-A46W-08_MN_10A-01D-A46W,1
LUAD,TCGA-44-6775-01C-02D-A46W-08_MN_11A-01D-1853,1
LUAD,TCGA-49-4510-01A-01D-1203-02_MN_11A-01D-1203,1
LUAD,TCGA-49-4510-01A-01D-1203-02_MN_11A-01D-1931,1
LUAD,TCGA-49-4510-01A-01D-1931-08_MN_11A-01D-1203,1
LUAD,TCGA-49-4510-01A-01D-1931-08_MN_11A-01D-1931,1
LUAD,TCGA-49-6767-01A-11D-1853-02_MN_11A-01D-1853,1
LUAD,TCGA-50-5944-01A-11D-1751-02_MN_10A-01D-1751,1
LUAD,TCGA-50-6597-01A-11D-1853-02_MN_10A-01D-1853,1
LUAD,TCGA-50-6597-01A-11D-1853-02_MN_10A-01D-1855,1
LUAD,TCGA-50-6597-01A-11D-1855-08_MN_10A-01D-1853,1
LUAD,TCGA-50-6597-01A-11D-1855-08_MN_10A-01D-1855,1
LUAD,TCGA-55-6982-01A-11D-1945-08_MN_11A-01D-1945,1
LUAD,TCGA-67-3771-01A-01D-0969-08_MN_10A-01D-0969,1
LUAD,TCGA-67-6217-01A-11D-1751-02_MN_10A-01D-1751,1
LUAD,TCGA-73-4668-01A-01D-1203-02_MN_11A-01D-1203,1
LUAD,TCGA-73-4677-01A-01D-1203-02_MN_11A-01D-1203,1
LUAD,TCGA-78-7143-01A-11D-2036-08_MN_10A-01D-2036,1
