Classification,x,density
ecDNA,6.472362,0.00264825
ecDNA,6.517588,0.0022779
ecDNA,6.562814,0.00204969
ecDNA,6.60804,0.00195317
ecDNA,6.653266,0.00197034
ecDNA,6.698492,0.00207764
ecDNA,6.743719,0.00224779
ecDNA,6.788945,0.00245174
ecDNA,6.834171,0.00266052
ecDNA,6.879397,0.00284728
ecDNA,6.924623,0.0029891
ecDNA,6.969849,0.00306874
ecDNA,7.015075,0.00307588
ecDNA,7.060302,0.0030078
ecDNA,7.105528,0.00286925
ecDNA,7.150754,0.00267171
ecDNA,7.19598,0.00243185
ecDNA,7.241206,0.00216971
ecDNA,7.286432,0.00190667
ecDNA,7.331658,0.00166353
ecDNA,7.376884,0.00145885
ecDNA,7.422111,0.00130778
ecDNA,7.467337,0.00122118
ecDNA,7.512563,0.00120516
ecDNA,7.557789,0.00126084
ecDNA,7.603015,0.00138431
ecDNA,7.648241,0.00156676
ecDNA,7.693467,0.00179484
ecDNA,7.738693,0.00205135
ecDNA,7.78392,0.00231623
ecDNA,7.829146,0.00256797
ecDNA,7.874372,0.00278546
ecDNA,7.919598,0.0029498
ecDNA,7.964824,0.00304625
ecDNA,8.01005,0.00306568
ecDNA,8.055276,0.00300551
ecDNA,8.100503,0.00286977
ecDNA,8.145729,0.0026685
ecDNA,8.190955,0.00241628
ecDNA,8.236181,0.00213047
ecDNA,8.281407,0.00182911
ecDNA,8.326633,0.00152911
ecDNA,8.371859,0.00124471
ecDNA,8.417085,0.00098656
ecDNA,8.462312,0.0007614
ecDNA,8.507538,0.00057217
ecDNA,8.552764,0.00041867
ecDNA,8.59799,0.0002983
ecDNA,8.643216,0.00020695
ecDNA,8.688442,0.00013982
ecDNA,8.733668,9.203e-05
ecDNA,8.778894,5.907e-05
ecDNA,8.824121,3.709e-05
ecDNA,8.869347,2.304e-05
ecDNA,8.914573,1.461e-05
ecDNA,8.959799,1.025e-05
ecDNA,9.005025,9.1e-06
ecDNA,9.050251,1.092e-05
ecDNA,9.095477,1.608e-05
ecDNA,9.140704,2.561e-05
ecDNA,9.18593,4.12e-05
ecDNA,9.231156,6.532e-05
ecDNA,9.276382,0.00010122
ecDNA,9.321608,0.0001529
ecDNA,9.366834,0.00022498
ecDNA,9.41206,0.00032238
ecDNA,9.457286,0.0004498
ecDNA,9.502513,0.00061108
ecDNA,9.547739,0.00080837
ecDNA,9.592965,0.00104125
ecDNA,9.638191,0.00130593
ecDNA,9.683417,0.00159484
ecDNA,9.728643,0.00189644
ecDNA,9.773869,0.00219578
ecDNA,9.819095,0.00247552
